id,dt_tm,lang,retweet,name,body,lat,lon
1046765334886330368,Mon Oct 01 14:14:38 +0000 2018,en,1,sunboy64037120,RT @markets: Tesla stock recovers post-SEC losses following Musk deal with regulator https://t.co/dHZ2HFe5KU https://t.co/uU5Xwyaw5T,,
1046765343925051392,Mon Oct 01 14:14:40 +0000 2018,en,1,teslectrics1,RT @BlakeLinton: @GerberKawasaki @elonmusk Indeed; a movement like no other! This kind woman; a complete stranger who I approached in a Who…,,
1046765345195855872,Mon Oct 01 14:14:40 +0000 2018,en,1,LucaLDL,RT @iamjosephyoung: How about the bankers that have laundered $2.7 billion per day or $1.71 trillion in two years?  Most of them get a free…,,
1046765351864881157,Mon Oct 01 14:14:42 +0000 2018,en,0,matt_tuckr,They were not even doing that quantity in 1 year until recently; now in 3 months! $TSLA,,
1046765356021362689,Mon Oct 01 14:14:43 +0000 2018,en,1,Timmahooooo,RT @Paul_M_Huettner: I've released a new doc detailing lawsuits filed against Tesla Motors; Tesla Energy (SolarCity); &amp; Elon Musk. 28 filed…,,
1046765364862955520,Mon Oct 01 14:14:45 +0000 2018,en,1,Jonatha93564738,RT @CaseyNeistat: hey @MKBHD when do we get our Tesla V9 update?  i want in on the Mad Max Autopilot setting.  https://t.co/8EbfEiZteh,,
1046765369006936065,Mon Oct 01 14:14:46 +0000 2018,en,0,RHamptonCISSP,Tesla’s Elon Musk Had a Deal From the S.E.C. It Fell Apart in a Morning. https://t.co/88b6g8h0Eu,,
1046765374467969024,Mon Oct 01 14:14:47 +0000 2018,en,1,AragornZorEl,RT @28delayslater: $TSLAQ: Silly Bull; it’s not about the (thing we ranted about for months) it’s the (nonspecific) Numbers.   Me: hey look…,,
1046765374677680129,Mon Oct 01 14:14:47 +0000 2018,en,0,therpglab,@birdvsplane Hello; my name is Tesla; founder; and GM for The RPG Lab. Hope you are doing well. We’ve love for you… https://t.co/sF3cMXqbKl,,
1046765376023990278,Mon Oct 01 14:14:48 +0000 2018,en,1,edgbmiguel,RT @Teslarati: Tesla $TSLA starts strong recovery amidst Musk’s SEC settlement; Model 3 delivery estimates   https://t.co/rmSFMoU0ij,,
1046765378247036928,Mon Oct 01 14:14:48 +0000 2018,en,0,FINANCEPartners,Bloomberg TV retweeted:   Elon Musk will step down as Tesla's chairman as part of his SEC settlement. But who could… https://t.co/s4QM8BVtFY,,
1046765389101785088,Mon Oct 01 14:14:51 +0000 2018,en,0,Dublasio,BBC News - Elon Musk reaches deal over tweets about taking Tesla private https://t.co/NCCUY66SOn,,
1046765390481829888,Mon Oct 01 14:14:51 +0000 2018,en,1,AlphaTribune,RT @markets: Tesla stock recovers post-SEC losses following Musk deal with regulator https://t.co/dHZ2HFe5KU https://t.co/uU5Xwyaw5T,,
1046765406248161285,Mon Oct 01 14:14:55 +0000 2018,en,1,TauroMx,RT @elonmusk: Sorry for difficulties delivering your Tesla due to high volume! Critical to show that environmentally sustainable is financi…,,
1046765409050001409,Mon Oct 01 14:14:56 +0000 2018,en,1,Theelonews,RT @ElectrekCo: Tesla produced a record ~80;000 vehicles in Q3 and deliveries could be even crazier https://t.co/ylH8iWmiVK by @fredericlam…,,
1046765410618626048,Mon Oct 01 14:14:56 +0000 2018,en,1,mwt2008,RT @InsideEVs: We knew that center screen would be problematic. Now here's proof of it. The dialogue is epic too: You are not allowed to ha…,,
1046765416759144448,Mon Oct 01 14:14:57 +0000 2018,en,0,TecnoFuture2,Tesla's SEC deal provides ammunition for U.S. probe; investor lawsuits #tech #news https://t.co/AV0V69cmzZ,,
1046765419221188608,Mon Oct 01 14:14:58 +0000 2018,en,1,JohnEG78,RT @ThreePixelPro: Keep feeling like some kind of portal from the future opened up in my garage; but no. It’s just the @Tesla Model 3 I pic…,,
1046765426770931713,Mon Oct 01 14:15:00 +0000 2018,en,1,DrJonFulton,RT @ElectrekCo: Tesla's stock (TSLA) surges on Elon Musk's SEC settlement and anticipation of the quarter's numbers https://t.co/J2NwnlGDRN…,,
1046765432454213632,Mon Oct 01 14:15:01 +0000 2018,en,1,Everman,RT @GerberKawasaki: Awesome job @elonmusk and the Tesla team! We knew you could do it! You just beat the record for annual #EV production i…,,
1046765446362476544,Mon Oct 01 14:15:05 +0000 2018,en,1,skynetazul,RT @crawforso: Got our Model 3 Performance today. OMFG; it's AWESOME! I never want to drive a gas car again. Put my foot to the floor and w…,,
1046765462527205376,Mon Oct 01 14:15:08 +0000 2018,en,1,Foy_Steve,RT @EddyJokovich: In 2017; Scott Morrison derided the SA Tesla battery; saying it would become a “big banana”. The joke’s on him. It has re…,,
1046765463030702080,Mon Oct 01 14:15:09 +0000 2018,en,0,FinancialTimes,In Monday's FirstFT; can losing the chairmanship of Tesla curb Elon Musk's wayward tendencies?… https://t.co/aLf0VusO92,,
1046765469452185600,Mon Oct 01 14:15:10 +0000 2018,en,0,Rangewriterbiz,I fear Elon's brilliance is unraveling him. #Tesla’s Musk Had a Deal From the S.E.C. It Fell Apart.… https://t.co/AFU4j214vg,,
1046765472304287744,Mon Oct 01 14:15:11 +0000 2018,en,0,CAPTRick74,Ocean Sciences Article of the Day - New Tesla chair must rein in CEO Musk at key moment (Washington Post)  https://t.co/oeBZyyYFcL,,
1046765477492600832,Mon Oct 01 14:15:12 +0000 2018,en,0,dwnreport,Tesla stock leaps after Elon Musk settles with SEC and remains chief executive https://t.co/bEaqD5K0hA,,
1046765478788489216,Mon Oct 01 14:15:12 +0000 2018,en,1,tanjung_sepat,RT @LeilaniMunter: @eat_loose_meat @Andrew13610 @Tesla Since 2007 I’ve adopted rainforest to offset racecar. This year I protected 1500 acr…,,
1046765487768535041,Mon Oct 01 14:15:14 +0000 2018,en,1,ma_xiaoju,RT @neonTorpor: Elon Musk drama aside — @Tesla’s future dominance in the automotive industry has far less to do w/ specific vehicle models;…,,
1046765488142012423,Mon Oct 01 14:15:14 +0000 2018,en,0,TaineMcLean,'Attention all staff; the HR department will be implementing a new performance management programme...',,
1046765488863350785,Mon Oct 01 14:15:15 +0000 2018,en,0,OccuWorld,The Future We Need — From The Tesla Gigafactory To A Chain Of Terafactories https://t.co/UJ8XhPlFiJ,,
1046765492751527936,Mon Oct 01 14:15:16 +0000 2018,en,1,BabeReflex_8,RT @johnfraher: GE has lost $500;000;000;000 in market cap since 2000. That's enough to buy a Tesla Model 3 for everyone in New York City h…,,
1046765495234580481,Mon Oct 01 14:15:16 +0000 2018,en,1,Commuternyc,RT @TeslaCharts: Pumpity pump pump; pumpity pump pump  Where's Numora? I am disappointed we haven't seen the 'no longer not investable' not…,,
1046765498724208641,Mon Oct 01 14:15:17 +0000 2018,en,0,SocialEspionage,@Tesla  CEO @elonmusk will no longer be chairman: https://t.co/ga8XO5o2C1,,
1046765499495927808,Mon Oct 01 14:15:17 +0000 2018,en,0,LawyerMonthly,SEC legal action against Elon Musk justified.  The SEC announced last week that it has brought fraud charges agains… https://t.co/qLl133osSW,,
1046765503262412800,Mon Oct 01 14:15:18 +0000 2018,en,0,GXGroup,'The 2018 #FormulaE car is stupidly good &amp; that's bad for #Tesla' (@WiredUK)    'Electric #RacingCars are not just… https://t.co/TFT1NqsJBc,,
1046765504541708289,Mon Oct 01 14:15:18 +0000 2018,en,1,JohnEG78,RT @kimbal: Thank you to the amazing @tesla team and volunteers. You guys are amazing! https://t.co/aumrEisLRN,,
1046765504201969667,Mon Oct 01 14:15:18 +0000 2018,en,0,dailycarblog,SEC Give Elon Musk A $20m Slap On The Wrist Over Funding Secured Tweet https://t.co/DMmQWnx9XC https://t.co/j2KZa9y3Yf,,
1046765509927006213,Mon Oct 01 14:15:20 +0000 2018,en,1,Yuhenyow_LLN,RT @FinancialTimes: In Monday's FirstFT; can losing the chairmanship of Tesla curb Elon Musk's wayward tendencies? https://t.co/VdXiD2nfW6…,,
1046765514431885315,Mon Oct 01 14:15:21 +0000 2018,en,0,LtCrandog,#tesla $tsla the free money making machine 🕺🏻 https://t.co/gDLhAnbhXK,,
1046765518747815938,Mon Oct 01 14:15:22 +0000 2018,en,0,scottjcutter,Supermicro SYS-6049GP-TRT armed with 16x or 20x NVIDIA Tesla T4 Inferencing GPUs https://t.co/vEFOEBXCM6 via @ServeTheHome,,
1046765519263727622,Mon Oct 01 14:15:22 +0000 2018,en,0,EricPaulDennis,'crazier',,
1046765532333178881,Mon Oct 01 14:15:25 +0000 2018,en,1,CalvinnTay,RT @YahooFinance: Tesla shares spike after Elon Musk settles with SEC; agrees to step down as chairman https://t.co/smWt8UpSsz by @emily_mc…,,
