id,dt_tm,lang,retweet,name,body,lat,lon
1046773947021348864,Mon Oct 01 14:48:51 +0000 2018,en,0,therpglab,@HorsePodcast Hello; my name is Tesla; founder; and GM for The RPG Lab. Hope you are doing well. We’ve love for you… https://t.co/uxrh72ecGo,,
1046773948116070402,Mon Oct 01 14:48:52 +0000 2018,en,1,ReynoldsJackson,RT @frozencanuck: And there she is; my @Tesla #Model3. I waited 2 years; 5 months; and 26 days. The wait was absolutely worth it. Thank you…,,
1046773951865733121,Mon Oct 01 14:48:52 +0000 2018,en,0,needcaffeine,🙏 thaf there's no Apple like upheival &gt;&gt; CNN: Tesla stock roars back after Elon Musk's SEC deal. https://t.co/GJGilY5WEs  via @GoogleNews,,
1046773973206196226,Mon Oct 01 14:48:57 +0000 2018,en,0,NDAA2012,Elon Musk agrees to pay $20 million and quit as Tesla chairman in deal with SEC https://t.co/Oh0Yl9Fm4r via… https://t.co/EwvN9Bhj5e,,
1046773982224150530,Mon Oct 01 14:49:00 +0000 2018,en,1,SpazzyKK,RT @TIME: Tesla shares just skyrocketed after the S.E.C. settlement left Musk as C.E.O. https://t.co/Q6aOyrMzqX,,
1046773985806098449,Mon Oct 01 14:49:00 +0000 2018,en,0,DavidPapp,Tesla shares jump on Model 3 numbers; Musk settlement https://t.co/I5rPOU5Z4G,,
1046773991904595985,Mon Oct 01 14:49:02 +0000 2018,en,0,DaVonBrooks1,@_BlackBonnie___ Tesla; part time though.,,
1046774011907198976,Mon Oct 01 14:49:07 +0000 2018,en,0,NeilHUSA,So @tesla and @elonmusk each pay $20 million to SEC - @elonmusk is out as Chairman and the stock is up 16%?! Don't… https://t.co/ayEBZ9Gdlo,,
1046774017821163520,Mon Oct 01 14:49:08 +0000 2018,en,0,MinkailAutosLtd,Tesla style stereo installed. https://t.co/bzSa2xENvj,,
1046774021126320129,Mon Oct 01 14:49:09 +0000 2018,en,1,mwt2008,RT @ElectrekCo: Tesla produced a record ~80;000 vehicles in Q3 and deliveries could be even crazier https://t.co/ylH8iWmiVK by @fredericlam…,,
1046774025358364673,Mon Oct 01 14:49:10 +0000 2018,en,0,nytopinion,Tesla without Elon Musk would be low-drama; and it might produce very good electric vehicles. But it would be a she… https://t.co/gWYsVKbEcz,,
1046774030286671873,Mon Oct 01 14:49:11 +0000 2018,en,1,HildaHealing,RT @prayingmedic: Tesla &amp; Elon Musk agree to pay $40 million to settle a government lawsuit alleging Musk duped investors with misleading s…,,
1046774035265273857,Mon Oct 01 14:49:12 +0000 2018,en,0,vardmos,@arthur_wolff_ @florin__bora @TwainsMustache Tesla isn't scaling on subsidies either; you moron.,,
1046774037375057920,Mon Oct 01 14:49:13 +0000 2018,en,1,dore_nytopinion,RT @nytopinion: Tesla without Elon Musk would be low-drama; and it might produce very good electric vehicles. But it would be a shell of it…,,
1046774048632573953,Mon Oct 01 14:49:15 +0000 2018,en,0,wave_pattern,#TSLA #Tesla #US500 #SP500 $ES $SPX $NQ It feels almost like the $SEC are playing with the traders. Is action taken… https://t.co/cJO0kzEBua,,
1046774066303176704,Mon Oct 01 14:49:20 +0000 2018,en,0,Elon_Musk_World,This is the Best Possible News for #ElonMusk and #Tesla | https://t.co/72YWlH4N52 https://t.co/7ktg5mbkFq https://t.co/CjICci0itx,,
1046774074922418176,Mon Oct 01 14:49:22 +0000 2018,en,1,nrgtransition,RT @HenriBontenbal: Tesla Is ‘Very Close’ to Profitability; Musk Says in Staff Email: https://t.co/XoMJi3FTxf,,
1046774081524301824,Mon Oct 01 14:49:23 +0000 2018,en,0,WWachei,@elonmusk the tesla roadster 2 has 10000wheel torque and that doesn't explain the real torque of the car; what is the real torque?,,
