id,dt_tm,lang,retweet,name,body,lat,lon
1046787376771522560,Mon Oct 01 15:42:13 +0000 2018,en,0,RealtorJairo,Tesla shares spike after Elon Musk settles with SEC https://t.co/Il3PRfHL2c https://t.co/YKK6SH9bfb,,
1046787377992278018,Mon Oct 01 15:42:13 +0000 2018,en,1,TeslaRoadTrip,RT @tx_milla: #Tesla customers are the best! #TeslaOwners thank you for volunteering your time these past weekends. We are so much more tha…,,
1046787385063854081,Mon Oct 01 15:42:15 +0000 2018,en,1,ZhouChauster,RT @CNBCnow: BREAKING: Elon Musk and SEC reach settlement on fraud charges that will keep Musk as CEO but force him to resign within 45 day…,,
1046787385424375809,Mon Oct 01 15:42:15 +0000 2018,en,0,MedicalQuack,RT @Hipster_Trader: SEC employees after cashing out their Tesla calls today https://t.co/zCgOYEOWoB,,
1046787388150894592,Mon Oct 01 15:42:16 +0000 2018,en,1,incentives101,RT @ValueAnalyst1: $TSLA My expectations:  https://t.co/1VKLMuYc84,,
1046787392982700032,Mon Oct 01 15:42:17 +0000 2018,en,0,7DJLVfmKMQ1FDr8,Tesla made a record 80;000 vehicles last quarter; report says https://t.co/L296uTLAY1,,
1046787394891001856,Mon Oct 01 15:42:17 +0000 2018,en,0,Libreinfo,Musk's fraud charge will be a force for positive change at Tesla; says tech investor Munster https://t.co/8IB8aq1e6K https://t.co/JbF2P1yJZg,,
1046787399286747137,Mon Oct 01 15:42:19 +0000 2018,en,1,w_stonecipher,RT @Altimor: At $20mm; is this the most expensive tweet in history? 63 characters; $317;460 per keystroke. https://t.co/RL9OtAsAdM,,
1046787400750575616,Mon Oct 01 15:42:19 +0000 2018,en,0,tax1man12345,@lee_branch @londonblacktaxi @richardgreen627 @GoonerLdnTaxi My friend works for Tesla in research and development.… https://t.co/CdejRbfGgw,,
1046787401186758657,Mon Oct 01 15:42:19 +0000 2018,en,1,lukas_stegemann,RT @arrington: Right...Let's take @elonmusk; the most dynamic and interesting entrepreneur in America; and tell him he can't do that stuff…,,
1046787404504403968,Mon Oct 01 15:42:20 +0000 2018,en,0,BayArea247News,Tesla Stock Roars Back After Elon Musk's SEC Deal https://t.co/x68NRbGWFz,,
1046787407058800640,Mon Oct 01 15:42:20 +0000 2018,en,0,0rangeCru5h,@zomgapocalypse It tore welded brackets from their mounts Suggests could happen to any &amp; possibly all #Teslamodel3… https://t.co/dmAzCEtCNf,,
1046787414000365568,Mon Oct 01 15:42:22 +0000 2018,en,0,attorneyjohnfoy,New blog post: Driver Sues Tesla After Autopilot Crash https://t.co/ceyXJV6Jh0,,
1046787419541032960,Mon Oct 01 15:42:23 +0000 2018,en,0,JeremiahSchul12,What Will Model 3 Numbers Be For Tesla's Most Important Quarter In Its History? https://t.co/YW8mj8CBno,,
1046787422133145600,Mon Oct 01 15:42:24 +0000 2018,en,0,V100Taylor,Now time for a woman to lead... @elonmusk,,
1046787455129669634,Mon Oct 01 15:42:32 +0000 2018,en,1,YakovPettersson,RT @CNBCnow: BREAKING: Elon Musk and SEC reach settlement on fraud charges that will keep Musk as CEO but force him to resign within 45 day…,,
1046787460490022913,Mon Oct 01 15:42:33 +0000 2018,en,0,mudasserhassan,@KlasraRauf Just a fact; cost of a dodgy tweet by Elon Musk is removal of him from Chairmanship of Tesla and $20M.,,
1046787463128272897,Mon Oct 01 15:42:34 +0000 2018,en,0,ad8871,@AppFlyer @TXBoater gotta think tesla is trying to fulfill as many higher priced options as possibly by end of 2018… https://t.co/U9nveBYenF,,
1046787489388777474,Mon Oct 01 15:42:40 +0000 2018,en,1,HealhGlyn,RT @ElonMuskNewsOrg: Love Tesla's S3XY lineup? 💃🏻  Us too. That's why we made the now famous 'S3XY shirt'. 👕  Get yours here &gt;&gt; https://t.c…,,
1046787501812318211,Mon Oct 01 15:42:43 +0000 2018,en,1,GIR_MARKETS,RT @Hipster_Trader: SEC employees after cashing out their Tesla calls today https://t.co/1BdnjZRvVy,,
1046787505276612609,Mon Oct 01 15:42:44 +0000 2018,en,1,snt893,RT @ElectrekCo: Tesla produced a record ~80;000 vehicles in Q3 and deliveries could be even crazier https://t.co/ylH8iWmiVK by @fredericlam…,,
1046787507164262400,Mon Oct 01 15:42:44 +0000 2018,en,0,knowts4,@crawforso @Tesla @elonmusk Nice ...shocking what a great car you have..lol,,
1046787526831161344,Mon Oct 01 15:42:49 +0000 2018,en,1,snt893,RT @ElectrekCo: Watch Tesla's new Autopilot on 'Mad Max' mode at work https://t.co/IO5VpUphCZ by @fredericlambert https://t.co/5EdEzvU1Xe,,
1046787529398194176,Mon Oct 01 15:42:50 +0000 2018,en,1,DESpaceX,RT @crawforso: Got our Model 3 Performance today. OMFG; it's AWESOME! I never want to drive a gas car again. Put my foot to the floor and w…,,
1046787536629239809,Mon Oct 01 15:42:51 +0000 2018,en,0,GCastevert,Tesla produced a record ~80;000 vehicles in Q3 and deliveries could be even crazier  🚗🔋⚡️🤖😀👍🏻  #Model3 #EV… https://t.co/ofvSnhq66f,,
1046787537170255872,Mon Oct 01 15:42:51 +0000 2018,en,1,Trollacharya,RT @ElectrekCo: Tesla produced a record ~80;000 vehicles in Q3 and deliveries could be even crazier https://t.co/ylH8iWmiVK by @fredericlam…,,
1046787540705927168,Mon Oct 01 15:42:52 +0000 2018,en,1,JohnKaster,RT @ElectrekCo: Tesla produced a record ~80;000 vehicles in Q3 and deliveries could be even crazier https://t.co/ylH8iWmiVK by @fredericlam…,,
1046787553502928896,Mon Oct 01 15:42:55 +0000 2018,en,1,BillNorAngus,RT @Petercampbell1: Carlos Ghosn slaps down Tesla at Paris Motor Show opening session:  '10 years ago everyone said car makers are dinosaur…,,
1046787561929232384,Mon Oct 01 15:42:57 +0000 2018,en,1,kelmcc_,RT @Choplogik: Food $420 Data $420 Rent $420 Tweeting: $40;000;000 &amp; my position as Tesla's chairman Utility $420 someone who is good at th…,,
1046787572104663040,Mon Oct 01 15:43:00 +0000 2018,en,0,krogh_espen,#tesla delivered a total of 2283 S&amp;X in Q3 here in #Norway according to https://t.co/8YAPmreeUF,,
1046787602119094272,Mon Oct 01 15:43:07 +0000 2018,en,0,Conodrum,⁦⁦@algore⁩ self described inventor of Internet to Chair ⁦@Tesla⁩; rein in ⁦@elonmusk⁩?  track record at @google?  O… https://t.co/SMAst4UtPn,,
1046787605906567169,Mon Oct 01 15:43:08 +0000 2018,en,0,Elon_Musk_World,Tesla's #ElonMusk Settles With the SEC: What You Need to Know https://t.co/l792zDKgDm https://t.co/KynxaSuOav,,
1046787624747372544,Mon Oct 01 15:43:12 +0000 2018,en,0,TommyThornton,Waze will now come out with a new hazard alert 'Tesla Model 3 rear bumper hazard in road'  $TSLAQ,,
1046787630971506690,Mon Oct 01 15:43:14 +0000 2018,en,0,ArsRock1234,@LeilaniMunter @Tesla I wish I had born in US/Canada just for Tesla... 😣😣,,
1046787631865090048,Mon Oct 01 15:43:14 +0000 2018,en,1,Lechuga____,RT @hunterwalk: guys; it just hit me. The fine was 'for 20' million..... https://t.co/BdHLqFzwLv,,
1046787650634551296,Mon Oct 01 15:43:18 +0000 2018,en,0,ad8871,@Saba_Capital @davidtayar5 i have no position in tesla,,
1046787657139933185,Mon Oct 01 15:43:20 +0000 2018,en,1,joseheronleyva,RT @Choplogik: Food $420 Data $420 Rent $420 Tweeting: $40;000;000 &amp; my position as Tesla's chairman Utility $420 someone who is good at th…,,
1046787658477912065,Mon Oct 01 15:43:20 +0000 2018,en,0,duhitsjavy,I had a dream I met and hang out @elonmusk and it was super cool but then he got busy with work and tried to give m… https://t.co/cv1mzIehyN,,
1046787664014397440,Mon Oct 01 15:43:22 +0000 2018,en,1,NishVass,RT @rjosephLS: $TSLA Tesla Produced A Record ~80;000 Vehicles In Q3 And Deliveries Could Be Even Crazier - @ElectrekCo https://t.co/OSfBDDk…,,
1046787663762665480,Mon Oct 01 15:43:22 +0000 2018,en,0,jonhearty,The opinions in this thread only mean so much without understanding context (like how much of your liquid capital w… https://t.co/uIeKTHJp98,,
1046787671857590272,Mon Oct 01 15:43:24 +0000 2018,en,1,GibsTrina,RT @GabeRitter1: 2 years ago yesterday Aphrodite came into my life and has helped change me for the better in some way. She has graced me w…,,
1046787678824480775,Mon Oct 01 15:43:25 +0000 2018,en,0,FinTwitTSLA,via TommyThornton: Waze will now come out with a new hazard alert 'Tesla Model 3 rear bumper hazard in road'  $TSLAQ $tsla,,
1046787684084006913,Mon Oct 01 15:43:26 +0000 2018,en,1,ex_Tesla,RT @Petercampbell1: Carlos Ghosn slaps down Tesla at Paris Motor Show opening session:  '10 years ago everyone said car makers are dinosaur…,,
1046787698923585536,Mon Oct 01 15:43:30 +0000 2018,en,1,ONECATSHORTOFCR,RT @matthewstoller: Wall Street joints Elon Musk in the taunting of the SEC this morning. Tesla is up 16%. https://t.co/2JPYxv3tA9,,
1046787700374867970,Mon Oct 01 15:43:30 +0000 2018,en,0,MissD_Dallas,If you're too big to fail; or failing hurts 'CERTAIN' people; the laws change or become liberal! Is the damn thing… https://t.co/MsAX1WVUNe,,
1046787705814880258,Mon Oct 01 15:43:32 +0000 2018,en,1,zomgapocalypse,RT @0rangeCru5h: @zomgapocalypse It tore welded brackets from their mounts Suggests could happen to any &amp; possibly all #Teslamodel3  Rain s…,,
1046787707396124672,Mon Oct 01 15:43:32 +0000 2018,en,1,mariuskarma,RT @ElectrekCo: Tesla's new mobile app update lets you get more control over your car from your phone https://t.co/eFwy0TNhp1 by @fredericl…,,
1046787728141152256,Mon Oct 01 15:43:37 +0000 2018,en,0,JaysonHanes,I added a video to a @YouTube playlist https://t.co/amqhFYe0wh Tesla Model 3 Tricks Cop,,
1046787733765668864,Mon Oct 01 15:43:38 +0000 2018,en,1,realnouns,RT @GerberKawasaki: Awesome job @elonmusk and the Tesla team! We knew you could do it! You just beat the record for annual #EV production i…,,
1046787746226933762,Mon Oct 01 15:43:41 +0000 2018,en,1,migueorg,RT @TeslaMotrsports: Dope or nope? Comment below?🔌🔋 #Tesla https://t.co/r0ukxgrTe5,,
1046787765583695872,Mon Oct 01 15:43:46 +0000 2018,en,0,cfischer6,@danahull @TeslaCharts Monitoring how deep underwater Tesla's bonds are.,,
1046787776144965638,Mon Oct 01 15:43:48 +0000 2018,en,1,falafeldiaper1,RT @0rangeCru5h: @zomgapocalypse It tore welded brackets from their mounts Suggests could happen to any &amp; possibly all #Teslamodel3  Rain s…,,
1046787778774622208,Mon Oct 01 15:43:49 +0000 2018,en,1,Bolortoi,RT @375Girl: Thank you @elonmusk @tesla for my long awaited beauty!  You all rock!  #Model3 #bestcarever #EV https://t.co/iKa4x9Ah4k,,
1046787782486749191,Mon Oct 01 15:43:50 +0000 2018,en,1,sean_koketso,RT @washingtonpost: Tesla shares soar after Musk settles with SEC https://t.co/KrMPa4FImz,,
