id,dt_tm,lang,retweet,name,body,lat,lon
1046764127228555266,Mon Oct 01 14:09:50 +0000 2018,en,1,TeslaArmy,RT @scaleoutsavant: So incredibly honored to have @elonmusk sign my brand new #tesla #model3 #Goals #AchievmentUnlocked https://t.co/5jpPvR…,,
1046764156572110848,Mon Oct 01 14:09:57 +0000 2018,en,1,mitalimmalondka,RT @Imranmikhael23: I now drive a BMW and Tesla... and park 'em in my pocket! Try @Getaround with $20 and access cars from your phone. http…,,
1046764159449411584,Mon Oct 01 14:09:58 +0000 2018,en,1,esaruoho,RT @dcseifert: musk grabs the mic  'SO the S-E-C won't let me be  let me be me and tweet recklessly they try to shut me down on the N-Y-S-E…,,
1046764159818444800,Mon Oct 01 14:09:58 +0000 2018,en,0,monkey_viral,#Tesla shares jump after Musk settles with SEC! is now Trending on Tech - Shopping - Deals - News - https://t.co/bBpul6dOea,,
1046764182471733248,Mon Oct 01 14:10:03 +0000 2018,en,1,kevindorfer,RT @ElectrekCo: Tesla produced a record ~80;000 vehicles in Q3 and deliveries could be even crazier https://t.co/ylH8iWmiVK by @fredericlam…,,
