id,dt_tm,lang,retweet,name,body,lat,lon
1046767784221380609,Mon Oct 01 14:24:22 +0000 2018,en,1,ddcameronclark,RT @AndreaSJames: @AustenAllred I share your frugality— traded in a 2000 Ford Focus for a Model X. The fact that u are statistically less l…,,
1046767784393203714,Mon Oct 01 14:24:22 +0000 2018,en,1,cacameronGOP,RT @Choplogik: Food $420 Data $420 Rent $420 Tweeting: $40;000;000 &amp; my position as Tesla's chairman Utility $420 someone who is good at th…,,
1046767784359874561,Mon Oct 01 14:24:22 +0000 2018,en,0,cadlam,@rwerkh @ThatArcher @NB_Power @CNL_LNC @LindsayPB Oh; OK; Lindsay is in the UK; so I tagged the wrong person. It wo… https://t.co/2NA0o8Mlm7,,
1046767785785929729,Mon Oct 01 14:24:22 +0000 2018,en,0,SaidMawali,@elonmusk @elonmusk when are we going to see Tesla in Oman? I can help. They just raised fuel prices again...,,
1046767786524127232,Mon Oct 01 14:24:22 +0000 2018,en,0,CNBCi,Tesla made a record 80;000 vehicles last quarter; report says https://t.co/yQbSAD85jj,,
1046767790571446277,Mon Oct 01 14:24:23 +0000 2018,en,1,BruceCr01405174,RT @EddyJokovich: In 2017; Scott Morrison derided the SA Tesla battery; saying it would become a “big banana”. The joke’s on him. It has re…,,
1046767791146250240,Mon Oct 01 14:24:24 +0000 2018,en,0,Tonnie_Taller,New top story: Tesla Stock Skyrockets After Elon Musk Remains CEO in SEC Settlement https://t.co/KnoXDDICve,,
1046767795524923393,Mon Oct 01 14:24:25 +0000 2018,en,0,BrianDeagon,Tesla Stock Skyrockets After Elon Musk Settles Lawsuit With SEC https://t.co/lkeM8TyLaM $TSLA,,
1046767812679798784,Mon Oct 01 14:24:29 +0000 2018,en,0,LennonConway30,Tesla made a record 80;000 vehicles last quarter; report says https://t.co/OEbtrAeal7,,
1046767814495924226,Mon Oct 01 14:24:29 +0000 2018,en,1,busnitized,RT @CNBC: Tesla made a record 80;000 vehicles last quarter; report says. https://t.co/gCn4q2zkEl,,
1046767824478208001,Mon Oct 01 14:24:32 +0000 2018,en,1,anirudh_badri,RT @ElectrekCo: Tesla produced a record ~80;000 vehicles in Q3 and deliveries could be even crazier https://t.co/ylH8iWmiVK by @fredericlam…,,
1046767834242711553,Mon Oct 01 14:24:34 +0000 2018,en,0,comeaujo,Today; October 1; 2018 feels like a new beginning for @Tesla and I could not be happier.  Most of the nonsense is i… https://t.co/5m9KUyxtEY,,
1046767854085783552,Mon Oct 01 14:24:39 +0000 2018,en,1,SoopsNZ,RT @tradingview: Some cofounders own $tsla stock; it's the most innovative company out there. You can even use @tradingview inside a @tesla…,,
